Title,Author,Date,Review,Rating
Not Believable,cncgjqbm,4 August 2021,"The storyline was brilliant and enjoyable with brilliant directing. The film made you care about the characters and their death. The audience knew the ship was going to sink, but leading up to the ship sinking made you care about the people and crew. This film was about building on the characters. Kate Winslet stole the film.However, Leonardo with Kate Winslet made this film unbelievable and annoying. It's hard to imagine Kate with the homeless and unattractive Leonardo. Kate definitely deserved to be recognized for her performance and Leonardo should have never been mentioned. In reality Kate's character would have never been with the unattractive and homeless Leonardo over Billy's character of a millionaire. Billy is so much more attractive and successful than Leonardo who is such a boy.Leonardo was a cry baby when he wasn't nominated for an Oscar and Kate was. Kate gave a remarkable performance and nothing stood out with Leonardo.",7/10
A sinking feeling.,Pjtaylor-96-138044,21 May 2020,"'Titanic (1997)' is bogged down by arguably unnecessary modern day sequences, its run-time sailing well beyond the time it actually took for its eponymous ship to sink. These opening and closing moments are what started Cameron's seemingly unending obsession with deep-sea documentation and, in some ways, seem a little too indulgent. However, they do add a layer of theming to the thing and sort of explain the director's motives in making a massively budgeted, romantically focused epic out of one of the most well-known tragedies of the twentieth century. Once the piece progresses into its bulk, it starts to become a lot more interesting. The film revels in its splendid set-design and CG-enhanced environments, marvelling at its own ability to aptly convey the period and paying immense attention to even the smallest of details (though it's apparently content with 'filling in the gaps' any way it pleases). At times, the picture feels rather self-congratulatory, to be honest. However, this confidence is mostly well-placed; the movie did, after all, make over a billion dollars. Just because it made money doesn't mean it's automatically good, though. It's undeniably messy and slow, somewhat confused as to whether it wants to be a straight-forward historical tragedy or an alternate-history 'against all odds' romance (and that's not even mentioning the reflexive, somewhat self-aware vibes of the modern day stuff). Having said that, it's effective on more than one occasion. Some of the romantic banter between its leads is charming, as is their overall relationship, and the 'clash of the classes' angle is generic but enjoyable. Any time DiCaprio and Winslet share the screen, the film is fairly entertaining. However, it doesn't get properly gripping until the DVD asks you to change disks halfway through. This latter half is dedicated, almost entirely, to the sinking of the ship. This is a well-known fact and, frankly, a key selling point of the picture, so it isn't exactly a surprise. Yet, the extended sequence does a good job of maintaining tension by introducing mini conflicts which don't have a pre-determined end. This segment contains some visually spectacular stuff, as water floods corridors or crushes characters against gates and the whole ship turns on its side as it sinks to the depths below. Thankfully, this stuff isn't beautiful; it's devastating. Some of it is really suspenseful, too. It's the most successful aspect of the piece, for sure - although it does feature a shot that demonstrates literally the worst 'face replacement' I've ever seen. When it comes down to it, the flick isn't as impactful as it should have been. It struggles to balance its two major elements, feels unnecessarily long and is often somewhat self-indulgent (and, thus, rather dull). It is, however, a visually spectacular and occasionally charming experience with a highly effective final third. It's long and uneven, but it's probably worth a go if you're a fan of DiCaprio, Winslet, Cameron or, somewhat strangely, historical tragedies. 6/10",6/10
Had potential but blew it.,DylanMcChillin,18 July 2018,The movie is so historically inaccurate that it should be considered a satire. It's extremely disappointing and the acting is subpar. Hopefully they'll do a remake of an actual story that occurred on the Titanic.,No Rating
1 of the best films out there,Just-Being-Me,3 March 2014,"Titanic is brilliant. Every single actor knows how to act, i never saw 1 bad actor. I love everything about this film. 1 of Leo's better films i think and i would recommend to anyone that likes romance with great acting (also with top actors and actress's.Yes OK this is a very... very... very long film but it never gets boring, all way through the film is enjoyable. Most films rush into things and end up spoiling the results whereas this film builds up and knows how a good film should be. I have watched this film a number of times now and over the years it has always been a favourite of mine. I am sure if you took the time to watch this sometime you wouldn't be disappointed.",10/10
"TITANIC, an incredible true drama story",Students_SimoneVeil,20 December 2019,"I think that is one of the best movies of all times ,
because the plot is amazing and it's a true story .It was really,really sad at the end . But I think that the way Jack died is stupid because there was enough place on the floating wood piece for two persons .The cast was very good with Leonardo Dicaprio and Kate Winslet .The specials effects when the boat hit the iceberg or when the boat
get broken were awesome .But I didn't really like the romance part at the beginning of the movie .It's an old movie,it was released on the seventh January 1998 but the specials effects are still good today.",9/10
The classic sample of cinematic junk with pretty wrapping...,herodyssey,28 August 2000,"I must be the only person I know that does not gush when the title ""Titanic"" is mentioned.  I sat through the whole movie wondering if I'd have been better off staying home and doing laundry, and I've come to the conclusion, that yes, I probably would have been.This movie is recycled cr*p.  They took the classic ""Rich girl loves poor boy"" story, tagged on one of the world's largest tragic events, stuck in a pretty face or two (forget about acting ability -- Kate dear, you were better in Sense and Sensibility), ten bazillion dollars for a budget and bingo, you've got yourself a blockbuster that attracts hoards of lip glossed, hip huggered, chunky heeled, Britney Spears listening, glitter wearing teenaged girls.  All for the sake of a pre-pubescent Leonardo DiCaprio (c'mon! He looks like he's twelve). It saddens me that something as shallow as a teen heart throb can elevate a piece of junk like Titanic to what some call the best movie of all time. Argh!The only part of this movie that actually made me stop and look were the beautiful CGI effects. However prettiness and expensive effects doth not a good movie make.  Other than that, spitting off a ship and contrived chases with guns do not appeal to me much as good cinema.  I'd recommend everyone to see it at least once, but not for the sake of seeing a good movie, but to remind society that we're too used to being served 2 for $1 cans of tuna that were prepared for the cost of caviar. It's still just tuna.",1/10
An All-time Classic! An Epic Disaster movie...,akash_sebastian,9 April 2012,"This James Cameron's ambitious venture is a cinematic masterpiece which is easily the most meticulously rendered and relentless disaster movie ever made.Though it has various clichés and flaws, and may deviate from what actually happened that night, people should remember this it's not a historic or biographic movie; it's a fictional epic love story with the historic setting of the sinking of the Titanic. Some may say, the two main characters so easily & neatly fall in love in such a short period of time or that the division between the social classes is exaggerated... But the amazing acting by the long list of talented actors, James Cameron's brilliant direction, Russell Carpenter's elegant cinematography and production designer Peter Lamont's intricate recreation of the ship truly bring the story to life, help us overlook the minor shortcomings and makes us all fall in love with it.*** SPOILERS ***Over the years, it's effect on me might have changed. Earlier, it was the disaster and the deaths which affected me. Now, the various characters and their journeys just make me think... - Rose, who was bored of meaningless aristocratic life, finds a purpose and new meaning when she meets Jack. With his help, she finally gets the courage to cut her ties from that high-society world. Even after Jack dies, she keeps her promise and explores other fields, becomes an actress, marries, and goes on to live for over 80 years. - Jack, who has been to many places studying people and drawing them, meets a complex rich girl and falls for her. - Cal Hockley, who is used having whatever he sets his eyes upon, couldn't bare it when he realizes that his fiancée, Rose, is slowly slipping through his hands. In the end, he becomes so frustrated that he even starts shooting at them. - There are so many other such interesting characters, from the architect who feels guilty that he wasn't able to design a strong ship and decides to die along with it, the captain who after 26 years of experience feels remorse for not taking his last voyage's ship safely to shore, to the crew member who shoots two people for creating a chaos and finally killing himself not able to bear what he had just done.*** END of SPOILERS ***And who can forget the last one hour of the film involving the sinking? It has been shot and executed quite brilliantly.Unfortunately, people love to comment negatively about something good, because they are unable to think for themselves and have a need to be accepted in their 'clique'. Many people who loved the movie at one time or another now talk derogatorily about it thinking that it would make them seem cool. FYI, talking crap about a movie like 'Titanic' doesn't make you look cool. It tells a lot about the person or his/her taste in movies.",9/10
A good time,kriscot-48548,16 July 2019,great practical and special effectswell actedcan feel a bit sluggish or long at some points,8/10
James Cameron's Titanic is still entertaining with 3-D adding a little to the experience,tavm,29 April 2012,"Well, 15 years after first seeing this at a second run-dollar theatre that I worked at when I was living in Jacksonville, FL, I finally decided to watch Titanic again in 3-D at the place my movie cinema-working friend is now employed at. Once again, we experienced the romance between Leonardo DiCaprio and Kate Winslet as the latter wants to escape the more controlling Billy Zane. Despite the dialogue between them verging on the melodramatic, director James Cameron also thought up some truly witty lines that especially suited Kathy Bates as the Unsinkable Molly Brown. And, yes, it's still very touching seeing Jack and Rose willing to stay together during all that chaos as the title ship keeps sinking. And how cool is it seeing Golden Age veteran Gloria Stuart as the elderly Rose recounting how it was during Titanic's only voyage. And not to mention James Horner's iconic score. And while I thought Celine Dion's Oscar-winning song ""My Heart Will Go On"" was overplayed on Top 40 radio stations then, I actually enjoyed hearing it again during the end credits (though we only stayed through the cast list). And of course, Cameron keeps things exciting enough during the climatic sinking though sometimes I thought he piled it a bit much when he showed a young boy crying just standing there as Jack and Rose were running (it felt a little more contrived than usual though I realized such a scene could have really taken place). In summation, James Cameron's Titanic is still a very entertaining picture worthy of its Oscar status enhanced a bit by the 3-D experience though it wasn't really necessary IMHO.",9/10
"Contrived, and in many ways, offensive",SnobbyDude,15 January 2003,"Truth is stranger (and more interesting) than fiction, and this movie proves it.  Aspiring comedians that take courses on perfecting their art are always told that their real life is a much more interesting place to start than the imagination when writing material.  Why?  Truth is often more interesting than anything that you can come up with on your own.  I think this is the reason why this movie is so contrived and phony.  Rich girl, poor boy, snobby/evil/shallow rich people, noble/happy poor people...can you get any less original?  The stereotypes are offensive as well.  All the Irish people are drinking, partying, poor people, and the rich are all cold-hearted wasps.  Then there is the dialog.  I was cringing at every line and actually felt bad for the actors because they had such awful lines to work with. When I first saw this movie, I thought the lines sounded so bad, in part, because of some poor acting.  Since then, I have seen other movies with Leo in them and can see that he is a good actor, but just had some awful material to work with in Titanic.I wish that the creators of this film used the real story of the titanic as a source of their inspiration.  Instead, the main focus of the movie isn't the titanic or all the real people that lost their lives in this tragedy. The movie is really mostly about a fake love story that reaches new heights of cheesyness.  I think making a movie about two fake people (two fake annoying people) named Jack and Rose makes light of a very real event where many real people died.  I bet every single one of those real people had a more interesting life than Jack and Rose.The movie does, however, have one good thing going for it.  It does have good special effects.  This saves it from getting the lowest possible score. I gave it 2/10",2/10
The most overrated movie of all time,Verbal-17,30 March 1999,"Before anything, let me say that this was a very good movie: the special effects were incredible, and the final hour was spellbindingly powerful. And if the entire movie had been about this, had been about the Titanic itself, then I would have loved it. However, it wasn't. Instead, it supplies us with two and a half hours of a boring, predictable, badly written and badly acted romance that is no different than any other movie romance that has been seen in the past 10 years. Let's see: a pretty girl is engaged to a rich snob because of pressure from her parents, and then a young drifter (who looks suspiciously like a 25 year-old model) ""rescues"" her, and they fall in love. Gee, no cliches so far. Some of the script was awful. For example, at the beginning, Rose says, ""You think you can save me?"" and Jack responds, ""No, only you can do that."" That's fine, except then at the end, old Rose tells her granddaughter, ""there was a man named Jack who saved me, in all the ways a person can be saved."" Which is a total contradiction to what Jack told her. And the worst line of the whole movie (or any movie I've seen in recent years): the ship is going down. Right in front of their eyes thousands of innocent men, women and children are dying. So what does Rose do? She looks at Jack, smiles, and says, ""Look honey, this is where we first met!"" How dramatic! I wanted to puke. I realize that I'm nitpicking here, but my point is, if you're going to make a drama about such an important event, why give us two hours of watching Kate Winslet spit over the edge of a ship and other such things? I've met some morons say that they consider this to be the ""greatest movie ever made."" Say WHAT?! Better than Star Wars? Better than The Godfather? Better than Casablanca? Better than Schindler's List?! Get a grip, people- it's a good movie, but you're blowing it way out of proportion.",No Rating
This is Hollywood at it's top,revival05,17 May 2000,"I'm not really sure why so many people hated this movie, but I've got a few theories:1. Leonardo DiCaprio (I can agree, but he wasn't that bad)2. Jealousy against Leonardo DiCapro (Guys, c'mon, admit it)3. It was a drama (some teenager probably hated it just because it was a lovestory, I know a few)4. They don't want to get swallowed by the hype5. They're against Hollywood6. They can't stand too long moviesOr maybe it's the classic one: They hate it, just because everybody else did it.Well, here's my comment (and I am a guy, and I'm not fag):Finally a big bang here from Hollywood. A 3 hour epic with remarkable special effects. Another example is BEN-HUR, hey same amount of Oscars!!Well now. I first saw this movie, when it came and I was amazed! I mean, wow! It was entertaining, thrilling and even though you knew the plot and storyline (the ship will sink, hope THATS not a spoiler) you were kept at your seat, because you didn't want to miss a thing, and you just had to find out what was going to happen. And what about this crankiness against the script. It is a classic setup. Three acts (the story actually stops at about every hour so I'm not that out of here) , the beginning with the proud ship and the glorious ''first class' and some character-presentations, the middle where the ship hits the ice and the worrying starts while some characters gets developed, and the final act wich is an hour of thrilling action and glorious special effects! I have NEVER IN MY LIFE witness such a simple but so genius storyline! And I can't understand those who wasn't impressed.OK, the acting might not be as great as it maybe should. DiCaprio is the obvious choose to get money, but he's not the right kid, and the worst part is HE FIT'S IN (might sound a bit strange). Winslet was good, but BILLY ZANE was the best! I just loved that character. I ''almost'' laughed in every scene in he was in. James Cameron here shows that he can make any genre (but the action is his top), and of course Bill Paxton hangs along too.This might not be THE BEST movie ever made, but it is definitively one of my semi-finalists! 9/10",8/10
"Overrated...good, but overrated",Estella,19 April 1999,"No way is this the greatest film of all time. Not by a long shot. To compare this to GONE WITH THE WIND and Leo and Kate's performances to that of Viven Leigh and Clark Gable is ridiculous. Though Titanic IS good, it is no film of all time. Leo and Kate, though excellent in their performances are no Gable and Leigh, and though the film may be an epic, the ludicrous amount of Oscars slapped onto it (SO predictably) makes it less enjoyable because of the tons of hype lavished on it. Gone With The Wind was made at a time when films won Oscars for being GOOD. Today it depends on what film has the most budget and hype! Titanic: GWTW of the 90's? I think not.",No Rating
Life Sucks. Move On,jhayesmockery,30 November 2016,"In all fairness this movie had no potential to be good from the beginning. Everyone knows the story of Titanic and nobody really cared that much. Guy meets girl. Guy falls in love. Ship crashes. They die. The end. Great, I could have done a 30 second skit of this movie on Facebook for Christ Sake. Why is this movie so popular, please someone explain to me? If you want to see true love destroyed right in front of your eyes, I can help you find that. Just hit up a 4am bar and watch the Titanics sink right in front of your eyes!I feel bad for Leo as this flick really destroys his legacy. He is a much better actor than he shows in this flick. He has no one to blame but his agent, why would his agent set him up to play in this TrashCan of a movie!? Leo you are better than this, if I was your agent I would never have set this up for you. I am sorry on behalf of your agent.Timeout.... Did these two just meet on the ship for the first time!? They fell in love on this ship after a short amount of time. Stop it. I thought these two knew each other since they were like 3 or something. I had this movie rated a 4, but once I confirmed this major detail it was very easy for me to bump down to a 2. Again, Leo you are better than this!! Don't waste your time on this one. Next!",2/10
Bad movie only saved by one actor,tuckhead,8 June 2019,"A sappy movie about a petty criminal who falls in love with a murderous, thieving rich girl on a poorly designed ship. The story is predictable and boring, the soundtrack is equivalent to a million fingernails on a million chalkboards. The only redeeming thing about this film is the amazing performance by the master, Billy Zane. Once again Mr. Zane shows off his prodigious acting abilities and turns a rather bland movie into a master piece. Leonardo DiCaprio should have paid closer attention to him and maybe he would have learned something. This movie is only worth watching if you fast forward to Billy Zane's parts and the part where the guy who use to play guitar at the bar by my old house tries to give the Captain a life jacket. More Zane and less Leo please.",5/10
A Modern Masterpiece,madshell,22 August 2000,"In James Cameron's finest film to date, he writes and directs a period piece worthy of its name, and a solemn homage to those who passed on that fateful night in 1912. The labour of love's only due comparison is to Hollywood's yesteryear classics such as ""Gone With The Wind.""With a commentary on social classes and the trappings of the Victorians, Cameron goes beyond his norm -- and excells!!Leonardo DiCaprio and Kate Winslet charge the screen as Jack Dawson and Rose DeWitt Bukateer, respectfully.  A strong supporting cast including ""The Invisible Man""s Gloria Stuart, who carries the film in flashback, brillantly.If you're one of the very few people who haven't seen it yet, be aware that you are missing one of Hollywood's finest films.  The combination of awestriking special effects and corsetted costume drama mix only too well.",10/10
What hell must be like,jerome_w,28 September 1998,"My job requires me to travel every week to some other part of the country and I usually come home on the weekends. This summer I traveled from Washington to California every week. So twice a week I was on a 5 hour flight. I will not mention the airline, but they decided to capitalize on Titanic's popularity and show it as many times as they could. Well, guess what. I ended up having to sit through Titanic a total of 6 times!!! This must be what hell is like. I had to sit through a movie 6 times more than I wanted to see it. I saw it at the movies (friends payed for the ticket because I wouldn't see it otherwise) and I thought to myself what a crappy movie. But after being subjected to a whole month of Cameron and Leo I hate this movie more than anything else in existence. You see, the flights I'm on either have One big screen for the whole cabin or strategicaly placed monitors. So even if you don't ""RENT"" the headset you still have to be subjected to the visual ""majesty"" of Titanic. Those of you who don't like this movie don't need me to tell you what's wrong with it, and those who love it probably won't get past a review that doesn't start with ""THIS IS THE GREATEST FILM EVER!!"" So I just wanted to share my experience and offer to you this little question.What if you were trapped in a room where where your eyes were taped open and you had to ""experience"" Titanic over and over and over and over and over....",1/10
The titanic tragedy isn't about romance!!!,donnodcassandra-41099,8 October 2020,"Well I'll be honest it's ok as an romance movie BUT we are talking about TITANIC , ofcourse a lot of couples dead in there but the actual story is about how it sunk not the possible love story someone could have inside it. And the end was just bad so girl would cry for it, the boat was so close to her she could just scream help and a lot of people said that he was dead before she let him go but he was shaking, dead people don't shake and the door was big enough for both of them , so technically she killed him and again Titanic is about a tragedy of how people lost a lot that night over the mistake of the captain of the ship and the most sad part is that people now don't know Titanic as a historical tragedy but as an love story!",1/10
Titanic must be turning in it's grave,guster-1,28 April 2006,"For the life of me I still don't get why people like this film. It's got nearly every type of film cliché(rich girl falls in love with boom town rat, hmmm, original!), and THAT song. Near far, wherever you are, Celine Dion's song irritates the hell out of me. I think if you're going to make a film about Titanic, make a film about Titanic, not some annoying couple. I like romantic movies, don't get me wrong, but this is too cheesy and simple, which love invariably isn't. In it's defence though, I would like to comment on the fact that the special effects department did a splendid job, but unfortunately I like my films to have a good and varied plot which this film totally lacks. The Titanic was a great ship, ahead of it's time and was a icon of it's time, which makes this film an absolute travesty as it doesn't do Titanic's memory any justice.",5/10
My Heart Still Goes On - More So In 3D,sarahmillyhannah,27 April 2012,"I was looking through these reviews last week contemplating whether or not I should see this movie again upon its 100 year anniversary 3D release. I was looking to see if anyone had reviewed yet, more on the film's re release in its 3D glory - sadly they hadn't so I though if i want to know if its worth the price tag I will have to go. Considering myself to be interested in the titanic - not enough to call myself a Titanorack mind - I have learnt a lot about that ship, whether it be on the t.v or in books. Curiosity got the better of me and I decided to don on the 3D glasses required and watch the movie. James Cameron is the king of 3D. 3D to me being pretty much a gimmick which i think only works with made for 3D films on the big screen only. Avatar is the perfect example of this. Although i didn't care for the film much the 3D is sensational. Made for 3D movies such as Avatar and Piranha etc I have enjoyed and found them effective. You can see a lot of effort has gone into the 3D for Titanic. Some of the scenes are magnificent. The lifeboats rowing away being the best 3D scene for me in the film. Was that worth the price of the ticket? I am very undecided. I love this film and have seen it numerous times and I am not sure 3D added anything extra to the film because it wasn't made for 3D it didn't have the same effect for me. I think for me it was a chance again to see the film of the big screen which I enjoyed again very much. One thing I did think about on seeing it in 3D yesterday was why on earth was Billy Zane in this film? He is more hammy than William Shatner in Star Trek and not in a good way. But where this film is concerned my heart will always go on ..so if you want to know if its worth going to see in 3D I would say if you are a massive fan or never seen it before yes, otherwise not..",10/10
A Sad and Touching Drama.,movies2u,20 November 2001,"I have seen Titanic about a million times, and I have to say that the movie is a very entertaining and sad drama film. James Cameron did a wonderful job in being a director, and the acting was great. I give Titanic a 10 out of 10.  :)",No Rating
Amazingly beautiful and well crafted!,sn-shinde2006,22 May 2021,"One ship, one night and it has everything... drama, romance, action and all.Amazingly beautiful and well crafted!",9/10
"Pathetic, high-budget, glorified version of Love Boat",Chessack,11 October 2000,"As normal, I break with most people I know, since they generally loved this movie. I didn't like it at all, for a large number of reasons.First of all, it was too long. They showed detail in scenes that did not need detail, and even within the movie, they re-hashed scenes multiple times. In fact, it almost felt like the second half of the movie was a poorly-done sequel to the first half of the movie. In the first half, we saw way too much detail about the 'daily life' on the ship, most of which I found boring and not worthy of my time to watch.  In the second half, we saw a 90 minute pseudo-documentary of the sinking of the Titanic, an event which even in real life only took 2 hours. So basically, James Cameron showed us almost every single minute of the sinking. This is poor from a technical dramatic standpoint. Good drama glosses over the boring, nitty-gritty details, to focus on the important stuff. Cameron decided to show the nitty-gritty details with as much care and attention as the important sequences. Some interpret this as ""great attention to detail."" I don't see it that way. I see it as boring depiction of events that are neither relevant to the plot nor worthy of my time to witness.This brings us to my second complaint about this movie: the plot. Basically, this was a glorified, very expensive version of the old TV show ""The Love Boat."" Indeed, most episodes of ""Love Boat"" that I can recall were of a higher caliber, plot-wise and dialog-wise, than this movie was. I thought the dialog was forced, and stale, and did not ""ring true"" at all. Cameron was too ""present"" in the movie -- that is, I felt that he was forcing the characters to do exactly what he wanted, rather than having events take their ""natural"" course. Probably, this is because he was depicting something based in truth (the sinking of the Titanic), and so he had no choice about where the overall story would end up (the ship sinks -- I assume this is not a spoiler for anyone, heh heh). Thus, he had to force the part of the story that leads up to the sinking in a certain direction, and he did this in a poor manner that was too blatant, and made the whole thing seem artificial.I also thought both the principle actors (Kate Winslett, Leo DiCaprio) turned in terrible performances. I didn't really believe in either of them. Worse yet, they annoyed me, and their characters really irritated me. This is a terrible flaw in a disaster movie: if you dislike the characters to which the disaster (in this case, the sinking of the ship) is going to happen, then you really don't care whether they live or die. In fact, I was actually rooting for BOTH of them to die, because by the end of the film, they had irritated me enough that it was the only way I thought I'd get any satisfaction.I will admit that the film had excellent special effects. Normally, I like special effects movies. I even don't mind ones that openly, honestly have no interest in plot, characters, or story. However, Titanic had none of those things except special effects, but tried to pretend like it did. It's that presumptuousness that really irritated me. The movie so blatantly lavish, scenes were so clearly done ""just to show they could do it,"" that I could sense the arrogance of Cameron and the entire cast and crew in every scene.
This movie was a big waste of more than 3 hours of my time. My rating: 1/10.",1/10
In the Middle,zapdude,2 March 2003,"I managed to avoid watching this movie for years. I'm surprised that its rating here on IMDB is 7.0Considering the rabid fan base, and the fact that you could NOT escape that horrid theme song for forever, I would have thought it was an awesome movie.When push comes to shove, it's an OK movie, but it's neither AWESOME nor TERRIBLE.In short, it is a 7.0 movie, I guess.The first half is the best, the second half falls apart completely. I guess it just goes to show that the more money you pour into a project, the more you can get out.",7/10
Perfect 10. Magnificently!,saletehnolog,24 October 2017,"Titanic is one of the best movies I've been watching. Di Caprio and Kate are magnificent, producing and directing fascinating. The shiny scenes from the moment of impact in the ice floe to total submersion take away breath. When I remember those scenes when Kate takes the ax and enters the water to the head to reach the room where Leonardo is bound, an angry pass me. The complete set is enchanting. This is a movie that fully justified the funds invested and who for the reason earned a lot more money. Although the film was made in the late nineties, I can say that he is a classic for all time. Jamie Cameron set standards for the future with this film.",10/10
Good enough,alexsnower,12 July 2021,"As someone interested in titanic history, I like to see movies based on the event. However, I can't say this is the best movie in terms of acting, CGI or plot development. Kate Winslet whines her way to an average performance. I'm not sure why she was picked to be the lead female. DiCaprio does a good job but not his best work. Billy Zane is also weird casting choice and he isn't exactly great. The best actor/actress performance in the movie is probably Gloria Stewart. The CGI is not good, I know it was early in the game but some of it looks bad for 90's standards. I do like the movie being a wide stream outlet for knowledge on the titanic. However, the breaking of the ship is very inaccurate in the movie. The stern did not settle that high before the structural failure. Otherwise all the water sinking the ship looked nice. The grand staircase was particularly lovely. That scene alone makes this at least a 5.",7/10
One of the best movies I've ever seen,joseayarza,11 March 2002,"This movie is perfect. The love story was believable, the acting was great, special effects were wonderful... This movie couldn't be better!! This is only movie I've bought. I like to watch it again and again. Truly a masterpiece.",10/10
How dare you call this film good?!,Issic,3 December 1998,"The main reason why I watched this was simple-I wanted to see how Hollywood can waste close on $300 million on a film. After leaving the cinema I thought they had wasted all this amount on some tripe, and I said to myself-what could they have done to help some poverty stricked country. The plot itself was one of the weakest of 1997, the leads were cardboard characters and the dialogue made me want to get up and slap them all crazy. The computer generated graphics were so obvious, esp. when they did overhead shots of the ship sailing through the ocean (polygon people anyone?). Still however there are always good sides to every bad thing, and the sinking of the ship was a feast for the eyes. It was almost like you were there! The details on the whole were very accurate and the costumes were gorgeous. The ending was very sad, and gave a human face to the tragedy, but it didn't erase the first three-quarters. It's an average film at best, and a Leo DiCaprio trailer/James Cameron ego satisfier, and DOES NOT deserve all the accolades it has gathered.",No Rating
review of 3D version of titanic,ashdoc53,18 October 2012,"There's a place to live and a place to die.....And there's hardly a more luxurious place to live than the Titanic circa 1912.....And there's hardly a more famous and prestigious place to die to like her.....for her sinking is going to make headlines across the world......So why not live and die on the Titanic....For those who don't die there---remember the trenches of the first world war are waiting just 2 years since the sinking of the Titanic.....Trenches giving death in the and mud and the muck.....So I don't envy Jack Dawson.....Yeah ,the same Jack Dawson who wins a ' lucky ' ticket to board the unlucky Titanic in a game of poker.....At least he gets to sail on the high ocean.....Ahh , the ocean and the sea.....The roll of the waves and the sounds of the seagulls and the cool breeze and the surf.....But thats not all he gets.....He gets to stand on the bow of the most expensive ship in the world and shout '' I am the king of the world '' with his arms outstretched......And he gets to save the life of a supremely beautiful girl...........Which leads to dinner invitation to one of the most luxuriously appointed restaurants in the world in company of high society......But is that all.....??No , there's more good luck in store for you if you are Jack Dawson aboard the ' unsinkable ' Titanic.....good luck before the bad luck of dying.....Yes.....for the girl you save needs saving in a lot of other departments as well...........And she turns to who else but Jack Dawson to save her in every way possible.....But above all she turns to him for love..........A love she has not got from her rich but cold and cruel fiancé.........A love which Jack Dawson can give her in bountiful amounts.....So he gets to stand again on the bow of the most superb ship in the world with a most amazingly beautiful girl and stretch her lovely arms and his own and feel the cool ocean breeze rush against his face..... And lo !! The beautiful girl turns her face and kisses him deeply on his lips while they are still on the bow of the ship with arms outstretched- --one of the most romantic moments ever filmed on celluloid.....But it doesn't finish there for the lucky Dawson....The girl takes him to her room and poses for a nude portrait while Dawson tries to paint her naked body with trembling hands.....And then the inevitable happens.....the two yearning bodies meet for making sweat soaked love.....Does it really matter that the girls fiancé takes terrible revenge by getting Dawson arrested ??......For the beautiful girl never leaves him even though the Titanic starts sinking after hitting an iceberg.....and she gets him free.....Yes free to meet their fate together as the ship goes to the bottom of the sea....But only one of them is going to make it alive.....The chivalrous Dawson makes sure that his girl is that one.....But he's more than that---He's large hearted too....And how so ? Well , before he dies he makes her promise that she wont let his death deter her ; that she should live life to the full and make babies---babies he knows she will make with other men.....And his reward for that---She goes on to live life like he told her preserving his memory and adding his surname to her name....She becomes Rose Dawson.....And for that fact alone , I wouldn't mind changing my place with Dawson's even though I might go down with the sinking Titanic.....But if I cant do that , at least I don't mind seeing the movie again after 14 years....And I don't mind the fact that the 3D effects are not good and hardly make an impression.....For the photography just like last time , was great , the sets were amazing , the special effects were scintillating , the music was heart stopping and the acting by all actors was just special.....What else do you need.....Oh need.....I still feel the need to change places with Leonardo Di Caprio and make love to Kate Winslet after painting her nude while her fiancé Billy Zane boils in anger.....But thats not gonna happen is it.....So I will satisfy myself with the thought that I got the chance to see the movie again on big screen in the name of seeing it in 3D.....I sincerely hope that one day a 4D version comes so that I can see it on silver screen again.....Verdict---do I even need to say.....",9/10
Average at best; Overrated at worst,michaelf,2 February 1999,"""Titanic"" is an average film at its best.  But certainly it is the most overrated movie in history.OK, the visuals were great, and the last hour was exciting.  But the first two hours were nothing more than a routine, predictable love story that has been done over and over again.  Were you able to tell which characters would live and which would die the moment you first saw them enter the story?  If not, then you've only seen two or three movies in your entire life!And that dialog!  Ugg!Get to the theater late for this one.  Catch the last hour only.",4/10
Manipulative schmaltz.,WERZELG,27 June 2000,"For some reason, 2 and a half years on people still take this film seriously. 1. Why do they have the nudity scene? As a substitute for artistic quality although it is very nice. 2. Why did they cast Leo? Because how else would they attract female audiences? All they did was spend alot of money and got some sex appeal and the product was a goldmine of shallow sap. Okay, I understand that people might have got caught up in the hysteria at the time but surely people can now see all the cliches and sentimentality. Even the academy fell for it and gave this movie a richly undeserved best picture oscar. If you are looking for the definitive movie of the decade see SCHINDLER'S LIST, GOODFELLAS or THE SHAWSHANK REDEMPTION but please think twice before renting this mind-numbing schmaltz.",No Rating
Not that good,Hines150,9 November 2008,"This film should of never won best picture. This was just a glamorized version of pretty women. Special effects were good in this movie and deserved any awards that they got. But if you look at the other films that year like L.A. Confidential, Good Will Hunting, and As Good As it Gets. Those are original films that deserved the best picture award. I don't know how anyone can watch L.A. Confidential and not wonder why that film did not win best picture. Good thing the acting in Titanic did not win any awards because there were about one hundred better performances that year before you get to the first one in Titanic. James Cameron is overrated. Yes the terminator films were classics, but Curtis Hanson really should of got the award for Best Director.",3/10
